INFO 2025-09-22 14:37:57,743 autoreload 1665 8799641792 Watching for file changes with StatReloader
DEBUG 2025-09-22 14:37:57,743 autoreload 1665 8799641792 Waiting for apps ready_event.
DEBUG 2025-09-22 14:37:58,210 autoreload 1665 8799641792 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-09-22 14:37:58,218 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django_filters/templates with glob **/*.
DEBUG 2025-09-22 14:37:58,219 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-09-22 14:37:58,219 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/drf_yasg/templates with glob **/*.
DEBUG 2025-09-22 14:37:58,219 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,219 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,219 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,219 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,219 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django_filters/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,219 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/drf_yasg/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,219 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/users/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,219 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/journal/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,219 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/motherhood/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,220 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/analytics/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,220 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/community/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,220 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/notifications/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,220 autoreload 1665 8799641792 Watching dir /Users/macbookair/HerSpace/wellness/locale with glob **/*.mo.
DEBUG 2025-09-22 14:37:58,340 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/users/serializers.py first seen with mtime 1758011547.506159
DEBUG 2025-09-22 14:37:58,341 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/packaging/__init__.py first seen with mtime 1753298533.6705682
DEBUG 2025-09-22 14:37:58,341 autoreload 1665 8799641792 File /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_constants.py first seen with mtime 1733248792.0
DEBUG 2025-09-22 14:37:58,341 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/idna/package_data.py first seen with mtime 1753179651.1285844
DEBUG 2025-09-22 14:37:58,341 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/db/backends/postgresql/compiler.py first seen with mtime 1758309200.7144141
DEBUG 2025-09-22 14:37:58,342 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/shared_params/responses_model.py first seen with mtime 1753179651.7895508
DEBUG 2025-09-22 14:37:58,342 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/beta/threads/message_content_part_param.py first seen with mtime 1753179651.7481806
DEBUG 2025-09-22 14:37:58,342 autoreload 1665 8799641792 File /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/enum.py first seen with mtime 1733248792.0
DEBUG 2025-09-22 14:37:58,342 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/eval_update_response.py first seen with mtime 1753179651.7153718
DEBUG 2025-09-22 14:37:58,342 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/utils/datastructures.py first seen with mtime 1758309200.804988
DEBUG 2025-09-22 14:37:58,342 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/yaml/scanner.py first seen with mtime 1753298533.6419194
DEBUG 2025-09-22 14:37:58,342 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/http/response.py first seen with mtime 1758309200.7833056
DEBUG 2025-09-22 14:37:58,343 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/beta/assistant_tool_choice_function.py first seen with mtime 1753179651.727698
DEBUG 2025-09-22 14:37:58,343 autoreload 1665 8799641792 File /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/importlib/resources/_functional.py first seen with mtime 1733248792.0
DEBUG 2025-09-22 14:37:58,344 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/contrib/postgres/forms/hstore.py first seen with mtime 1758309199.6014323
DEBUG 2025-09-22 14:37:58,344 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/dotenv/variables.py first seen with mtime 1753187481.412472
DEBUG 2025-09-22 14:37:58,344 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/beta/assistant_stream_event.py first seen with mtime 1753179651.7273784
DEBUG 2025-09-22 14:37:58,344 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/beta/assistant_response_format_option.py first seen with mtime 1753179651.7270665
DEBUG 2025-09-22 14:37:58,344 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/dispatch/__init__.py first seen with mtime 1758309200.7703216
DEBUG 2025-09-22 14:37:58,344 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/conf/__init__.py first seen with mtime 1758309198.494882
DEBUG 2025-09-22 14:37:58,345 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/file_purpose.py first seen with mtime 1753179651.7169795
DEBUG 2025-09-22 14:37:58,346 autoreload 1665 8799641792 File /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_decimal.cpython-313-darwin.so first seen with mtime 1735550988.3786936
DEBUG 2025-09-22 14:37:58,346 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/contrib/postgres/forms/__init__.py first seen with mtime 1758309199.600545
DEBUG 2025-09-22 14:37:58,347 autoreload 1665 8799641792 File /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/contextlib.py first seen with mtime 1733248792.0
DEBUG 2025-09-22 14:37:58,347 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/template/loader_tags.py first seen with mtime 1758309200.7896068
DEBUG 2025-09-22 14:37:58,347 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/responses/response_input_item.py first seen with mtime 1753179651.7769852
DEBUG 2025-09-22 14:37:58,348 autoreload 1665 8799641792 File /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/subprocess.py first seen with mtime 1733248792.0
DEBUG 2025-09-22 14:37:58,348 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/responses/easy_input_message.py first seen with mtime 1753179651.7684047
DEBUG 2025-09-22 14:37:58,348 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/template/__init__.py first seen with mtime 1758309200.7876465
DEBUG 2025-09-22 14:37:58,349 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/core/checks/database.py first seen with mtime 1758309200.6869218
DEBUG 2025-09-22 14:37:58,349 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/rest_framework/renderers.py first seen with mtime 1752691379.529563
DEBUG 2025-09-22 14:37:58,349 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/rest_framework/reverse.py first seen with mtime 1752691379.5299459
DEBUG 2025-09-22 14:37:58,349 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/db/backends/postgresql/base.py first seen with mtime 1758309200.7141702
DEBUG 2025-09-22 14:37:58,349 autoreload 1665 8799641792 File /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/shutil.py first seen with mtime 1733248792.0
DEBUG 2025-09-22 14:37:58,349 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/chat/chat_completion_prediction_content_param.py first seen with mtime 1753179651.756114
DEBUG 2025-09-22 14:37:58,349 autoreload 1665 8799641792 File /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/bz2.py first seen with mtime 1733248792.0
DEBUG 2025-09-22 14:37:58,349 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/core/management/color.py first seen with mtime 1758309200.6965573
DEBUG 2025-09-22 14:37:58,349 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/image_edit_completed_event.py first seen with mtime 1753179651.7175906
DEBUG 2025-09-22 14:37:58,349 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1758309198.8413963
DEBUG 2025-09-22 14:37:58,350 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/django/urls/__init__.py first seen with mtime 1758309200.7939298
DEBUG 2025-09-22 14:37:58,350 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/responses/response_mcp_call_failed_event.py first seen with mtime 1753179651.7790976
DEBUG 2025-09-22 14:37:58,350 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/static_file_chunking_strategy_object.py first seen with mtime 1753179651.7210057
DEBUG 2025-09-22 14:37:58,350 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/responses/response_input_content.py first seen with mtime 1753179651.776027
DEBUG 2025-09-22 14:37:58,350 autoreload 1665 8799641792 File /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/uuid.py first seen with mtime 1733248792.0
DEBUG 2025-09-22 14:37:58,350 autoreload 1665 8799641792 File /Users/macbookair/HerSpace/venv/lib/python3.13/site-packages/openai/types/chat/chat_completion_function_message_param.py first seen with mtime 1753179651.7554536
